name,coverage_2020,annual_change,projected_2030,region,2030_status
Kenya,61.63289158,0.6871927200000002,68.50481878000005,Sub-Saharan Africa,Moderate Access
United Republic of Tanzania,60.71679759,1.5506005999999999,76.22280358999978,Sub-Saharan Africa,High Access
Yemen,60.66356984,0.9769402420000006,70.43297226000004,Europe & Central Asia,Moderate Access
Sudan,60.4486756,0.29968445599999993,63.445520160000115,Middle East & North Africa,Moderate Access
Rwanda,60.41450115,0.6585454260000004,66.99995540999998,Sub-Saharan Africa,Moderate Access
Guinea-Bissau,59.01691221,0.05051291799999972,59.52204139000001,Sub-Saharan Africa,Moderate Access
Angola,57.16773762,0.5701618539999999,62.86935616000005,Sub-Saharan Africa,Moderate Access
Somalia,56.47697339,1.5531639419999987,72.0086128099997,Sub-Saharan Africa,Moderate Access
Uganda,55.85504921,1.6026981699999991,71.88203091000014,Sub-Saharan Africa,Moderate Access
Madagascar,53.38588491,0.8988222739999998,62.37410765000004,Sub-Saharan Africa,Moderate Access
Eritrea,51.84972018,0.38462665000000107,57.23449328000004,Sub-Saharan Africa,Moderate Access
Burkina Faso,47.21485446,-0.5844553259999998,41.37030119999986,Sub-Saharan Africa,Low Access
Ethiopia,49.61557274,1.509101108,64.7065838200001,Sub-Saharan Africa,Moderate Access
Niger,46.91179747,0.2858678820000009,49.77047628999992,Sub-Saharan Africa,Low Access
Chad,46.18753479,0.3576875639999997,49.76441043,Sub-Saharan Africa,Low Access
Democratic Republic of the Congo,45.95212696,0.6467893979999999,52.420020940000086,Sub-Saharan Africa,Moderate Access
Papua New Guinea,45.34401752,0.7717018160000008,53.061035679999804,East Asia & Pacific,Moderate Access
Central African Republic,37.20240205,-1.0217886739999995,26.984515310000006,Sub-Saharan Africa,Low Access
South Sudan,40.95092717,-0.05931645800000068,40.35776258999999,Sub-Saharan Africa,Low Access
